InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
594247,P8153,Laptop,45,2024-11-12,53,33,Kenya
768919,P5094,Backpack,40,2023-11-08,40,68,UAE
868185,P8032,Keyboard,9,2025-08-05,86,50,France
951369,P7853,Laptop,5,2023-05-01,75,21,UAE
593821,P2398,Backpack,2,2024-12-21,82,57,Canada
840464,P7065,Headphones,40,2023-04-15,28,32,Canada
506133,P9013,Keyboard,12,2023-04-03,18,96,UK
178124,P7505,Laptop,45,2025-02-13,98,3,UAE
375553,P3720,Phone Case,43,2023-09-19,38,91,USA
877923,P7088,Monitor,22,2024-07-03,3,31,France
254947,P2744,Jacket,21,2024-06-25,61,12,France
635780,P5264,Keyboard,10,2023-01-14,47,66,Kenya
872773,P5435,Jacket,34,2024-07-01,27,42,Kenya
811441,P3643,T-Shirt,46,2024-01-29,52,12,Canada
966259,P4234,Jacket,27,2023-09-12,41,12,UAE
958739,P6579,Jeans,44,2025-03-11,19,36,USA
864943,P2968,Keyboard,4,2025-06-15,14,5,France
329563,P1397,Keyboard,48,2025-03-09,49,24,Kenya
373461,P2430,Shoes,23,2024-10-20,46,23,UK
814499,P7858,Backpack,18,2025-02-12,78,20,Germany
351216,P4362,Phone Case,1,2023-11-05,57,24,France
110630,P6294,Jacket,9,2025-07-29,27,50,UK
273378,P4434,Headphones,29,2023-11-20,2,59,Germany
377358,P6912,Headphones,33,2024-10-04,47,68,Kenya
308328,P1200,Shoes,48,2024-12-09,43,26,Kenya
506943,P1780,Shoes,37,2025-02-20,57,76,UAE
684703,P9006,Jacket,11,2025-01-05,8,14,Kenya
821411,P2650,T-Shirt,33,2024-12-05,86,77,Kenya
214082,P3947,Backpack,9,2025-05-03,8,53,Canada
874402,P4235,Headphones,42,2024-06-08,26,1,USA
815488,P2891,Phone Case,35,2024-03-28,70,65,Kenya
426660,P2582,Monitor,46,2024-11-05,32,67,Canada
236789,P3353,Jacket,40,2025-06-08,61,73,UAE
218528,P8368,Shoes,35,2025-05-14,56,19,Canada
359571,P3644,Monitor,3,2023-02-26,73,48,USA
566359,P3024,Jacket,8,2025-01-15,2,82,Canada
164425,P4116,Phone Case,31,2024-04-20,93,41,Germany
723742,P3016,Monitor,11,2023-03-30,83,31,USA
662196,P7106,Headphones,23,2023-08-24,84,51,UAE
747661,P7265,Jacket,49,2025-01-01,70,3,USA
523233,P8650,T-Shirt,22,2024-07-16,7,68,UAE
693755,P6270,Jacket,34,2024-01-01,40,85,USA
513731,P2731,T-Shirt,15,2023-08-31,14,17,Kenya
738612,P2103,Backpack,15,2024-08-18,19,83,Kenya
239578,P2740,Monitor,10,2023-10-23,32,81,France
996186,P4870,Jacket,45,2025-01-22,24,20,USA
244677,P1027,Keyboard,46,2025-07-18,21,63,USA
489318,P2145,Monitor,17,2023-04-18,94,71,France
867944,P6729,T-Shirt,37,2025-01-16,59,96,Canada
138873,P2270,T-Shirt,8,2023-06-24,1,27,Kenya
101801,P9315,Jacket,28,2023-01-11,28,5,Germany
486039,P2685,Backpack,20,2025-05-29,25,9,UK
